media_id,filename,type,primary_topic,secondary_topics,documentary_significance,historical_date,date_ingested,archive_origin,batch_id,rights_status,social_ready,pitch_ready,quality_rating,sha256_hash,treatment_sections
CIC-WR-038,IMG_1185.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-039,IMG_1186.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-040,IMG_1187.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-041,IMG_1188.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-042,IMG_1189.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-043,IMG_1190.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-044,IMG_1191.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-045,IMG_1192.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-046,IMG_1193.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-047,IMG_1194.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-048,IMG_1195.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-049,IMG_1196.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-050,IMG_1197.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-051,IMG_1199.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-052,IMG_1200.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-053,IMG_1201.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-054,IMG_1202.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-055,IMG_1203.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-056,IMG_1204.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
CIC-WR-057,IMG_1205.JPG,Photograph,1-Willow_Run_Bomber_Plant,,5,,2026-06-07,Batch_Kroll_Willow_Run,Batch_Kroll_Willow_Run,pre_cleared,7,8,8,,
